radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
lieb,lieben,liebe,liebst,liebt,liebte,geliebt,liebte,liebe,liebt,haben
klieb,klieben,kliebe,kliebst,kliebt,klob,gekloben,klöbe,kliebe,kliebt,haben
belfer,belfern,belfere,belferst,belfert,belferte,gebelfert,belferte,belfere,belfert,haben
chatt,chatten,chatte,chattest,chattet,chattete,gechattet,chattete,chatte,chattet,haben
wiss,wissen,weiß,weißt,weiß,wusste,gewusst,wüsste,wisse,wisset,haben
schnabulier,schnabulieren,schnabuliere,schnabulierst,schnabuliert,schnabulierte,schnabuliert,schnabulierte,schnabulier,schnabuliert,haben
brech,brechen,breche,brichst,bricht,brach,gebrochen,bräche,brich,brecht,haben
abbrech,abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,haben
anbrech,anbrechen,breche an,brichst an,bricht an,brach an,angebrochen,bräche an,brich an,brecht an,haben
aufbrech,aufbrechen,breche auf,brichst auf,bricht auf,brach auf,aufgebrochen,bräche auf,brich auf,brecht auf,sein
ausbrech,ausbrechen,breche aus,brichst aus,bricht aus,brach aus,ausgebrochen,bräche aus,brich aus,brecht aus,haben
einbrech,einbrechen,breche ein,brichst ein,bricht ein,brach ein,eingebrochen,bräche ein,brich ein,brecht ein,sein
verbrech,verbrechen,verbreche,verbrichst,verbricht,verbrach,verbrochen,verbräche,verbrich,verbrecht,haben
zerbrech,zerbrechen,zerbreche,zerbrichst,zerbricht,zerbrach,zerbrochen,zerbräche,zerbrich,zerbrecht,haben
büffel,büffeln,büffele,büffelst,büffelt,büffelte,gebüffelt,büffelte,büffele,büffelt,haben
oktroyier,oktroyieren,oktroyiere,oktroyierst,oktroyiert,oktroyierte,oktroyiert,oktroyierte,oktroyier,oktroyiert,haben
wink,winken,winke,winkst,winkt,winkte,gewinkt,winkte,winke,winkt,haben
mach,machen,mache,machst,macht,machte,gemacht,machte,mache,macht,haben
schmeiß,schmeißen,schmeiße,schmeißt,schmeißt,schmiss,geschmissen,schmisse,schmeiß,schmeißt,haben
besinn,besinnen,besinne,besinnst,besinnt,besann,besonnen,besänne,besinn,besinnt,haben
untersuch,untersuchen,untersuche,untersuchst,untersucht,untersuchte,untersucht,untersuchte,untersuche,untersucht,haben
kauf,kaufen,kaufe,kaufst,kauft,kaufte,gekauft,kaufte,kauf,kauft,haben
wohn,wohnen,wohne,wohnst,wohnt,wohnte,gewohnt,wohnte,wohne,wohnt,haben
seh,sehen,sehe,siehst,sieht,sah,gesehen,sähe,siehe,seht,haben
aal,aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,haben
ess,essen,esse,isst,isst,aß,gegessen,äße,iss,esst,haben
trink,trinken,trinke,trinkst,trinkt,trank,getrunken,tränke,trink,trinkt,haben
geh,gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,sein
wandel,wandeln,wandle,wandelst,wandelt,wandelte,gewandelt,wandelte,wandle,wandelt,sein
leck,lecken,lecke,leckst,leckt,leckte,geleckt,leckte,lecke,leckt,haben
fick,ficken,ficke,fickst,fickt,fickte,gefickt,fickte,ficke,fickt,haben
intendier,intendieren,intendiere,intendierst,intendiert,intendierte,intendiert,intendierte,intendiere,intendiert,haben
koch,kochen,koche,kochst,kocht,kochte,gekocht,kochte,koch,kocht,haben
kiff,kiffen,kiffe,kiffst,kifft,kiffte,gekifft,kiffte,kiffe,kifft,haben
sprech,sprechen,spreche,sprichst,spricht,sprach,gesprochen,spräche,sprich,sprecht,haben
delegier,delegieren,delegiere,delegierst,delegiert,delegierte,delegiert,delegierte,delegiere,delegiert,haben
akzeptier,akzeptieren,akzeptiere,akzeptierst,akzeptiert,akzeptierte,akzeptiert,akzeptierte,akzeptier,akzeptiert,haben
stipulier,stipulieren,stipuliere,stipulierst,stipuliert,stipulierte,stipuliert,stipulierte,stipuliere,stipuliert,haben
lieg,liegen,liege,liegst,liegt,lag,gelegen,läge,lieg,liegt,haben
ausscheid,ausscheiden,scheide aus,scheidest aus,scheidet aus,schied aus,ausgeschieden,schiede aus,scheide aus,scheidet aus,haben
zock,zocken,zocke,zockst,zockt,zockte,gezockt,zockte,zocke,zockt,haben
googel,googeln,googel,googelst,googelt,googelte,gegoogelt,googelte,googele,googelt,haben
abbaum,abbaumen,baume ab,baumst ab,baumt ab,baumte ab,abgebaumt,baumte ab,baum ab,baumt ab,haben
abschmier,abschmieren,schmiere ab,schmierst ab,schmiert ab,schmierte ab,abgeschmiert,schmierte ab,schmier ab,schmiert ab,sein
ignorier,ignorieren,ignoriere,ignorierst,ignoriert,ignorierte,ignoriert,ignorierte,ignoriere,ignoriert,haben
spar,sparen,spare,sparst,spart,sparte,gespart,sparte,spare,spart,haben
flieg,fliegen,fliege,fliegst,fliegt,flog,geflogen,flöge,flieg,fliegt,sein
delektier,delektieren,delektiere,delektierst,delektiert,delektierte,delektiert,delektierte,delektier,delektiert,haben
schweig,schweigen,schweige,schweigst,schweigt,schwieg,geschwiegen,schwiege,schweige,schweigt,haben
versteh,verstehen,verstehe,verstehst,versteht,verstand,verstanden,verstände,verstehe,versteht,haben
hör,hören,höre,hörst,hört,hörte,gehört,hörte,hör,hört,haben
les,lesen,lese,liest,liest,las,gelesen,läse,lies,lest,haben
akkumulier,akkumulieren,akkumuliere,akkumulierst,akkumuliert,akkumulierte,akkumuliert,akkumulierte,akkumulier,akkumuliert,haben
marodier,marodieren,marodiere,marodierst,marodiert,marodierte,marodiert,marodierte,marodiere,marodiert,haben
schleif,schleifen,schleife,schleifst,schleift,schleifte,geschleift,schleifte,schleife,schleift,haben
ras,rasen,rase,rast,rast,raste,gerast,raste,ras,rast,sein
fernseh,fernsehen,sehe fern,siehst fern,sieht fern,sah fern,ferngesehen,sähe fern,sieh fern,seht fern,haben
produzier,produzieren,produziere,produzierst,produziert,produzierte,produziert,produzierte,produzier,produziert,haben
arbeit,arbeiten,arbeite,arbeitest,arbeitet,arbeitete,gearbeitet,arbeitete,arbeite,arbeitet,haben
denk,denken,denke,denkst,denkt,dachte,gedacht,dächte,denk,denkt,haben
krieg,kriegen,kriege,kriegst,kriegt,kriegte,gekriegt,kriegte,kriege,kriegt,haben
radebrech,radebrechen,radebreche,radebrechst,radebrecht,radebrechte,geradebrecht,radebrechte,radebreche,radebrecht,haben
billig,billigen,billige,billigst,billigt,billigte,gebilligt,billigte,billige,billigt,haben
sitz,sitzen,sitze,sitzt,sitzt,saß,gesessen,säße,sitz,sitzt,haben
lauf,laufen,laufe,läufst,läuft,lief,gelaufen,liefe,lauf,lauft,sein
schreib,schreiben,schreibe,schreibst,schreibt,schrieb,geschrieben,schriebe,schreibe,schreibt,haben
verzweifel,verzweifeln,verzweifle,verzweifelst,verzweifelt,verzweifelte,verzweifelt,verzweifelte,verzweifle,verzweifelt,sein
schlag,schlagen,schlage,schlägst,schlägt,schlug,geschlagen,schlüge,schlag,schlagt,haben
knuddel,knuddeln,knuddele,knuddelst,knuddelt,knuddelte,geknuddelt,knuddelte,knuddele,knuddelt,haben
guck,gucken,gucke,guckst,guckt,guckte,geguckt,guckte,guck,guckt,haben
verlier,verlieren,verliere,verlierst,verliert,verlor,verloren,verlöre,verliere,verliert,haben
blas,blasen,blase,bläst,bläst,blies,geblasen,bliese,blas,blast,haben
spulg,spulgen,spulch mi,spulchst di,spulcht si,,gspulcht,dáád mi spulche,spulch di,spulcht aü,haben
küss,küssen,küsse,küsst,küsst,küsste,geküsst,küsste,küss,küsst,haben
ausricht,ausrichten,richte aus,richtest aus,richtet aus,richtete aus,ausgerichtet,richtete aus,richte aus,richtet aus,haben
interagier,interagieren,interagiere,interagierst,interagiert,interagierte,interagiert,interagierte,interagiere,interagiert,haben
saturier,saturieren,saturiere,saturierst,saturiert,saturierte,saturiert,saturierte,saturiere,saturiert,haben
lern,lernen,lerne,lernst,lernt,lernte,gelernt,lernte,lerne,lernt,haben
rett,retten,rette,rettest,rettet,rettete,gerettet,rettete,rette,rettet,haben
autorisier,autorisieren,autorisiere,autorisierst,autorisiert,autorisierte,autorisiert,autorisierte,autorisier,autorisiert,haben
paraphrasier,paraphrasieren,paraphrasiere,paraphrasierst,paraphrasiert,paraphrasierte,paraphrasiert,paraphrasierte,paraphrasier,paraphrasiert,haben
lehr,lehren,lehre,lehrst,lehrt,lehrte,gelehrt,lehrte,lehre,lehrt,haben
popp,poppen,poppe,poppst,poppt,poppte,gepoppt,poppte,poppe,poppt,haben
vögel,vögeln,vögele,vögelst,vögelt,vögelte,gevögelt,vögelte,vögele,vögelt,haben
steh,stehen,stehe,stehst,steht,stand,gestanden,stünde,stehe,steht,haben
paar,paaren,paare,paarst,paart,paarte,gepaart,paarte,paare,paart,haben
flügel,flügeln,flügle,flügelst,flügelt,flügelte,geflügelt,flügelte,flügele,flügelt,haben
paddel,paddeln,paddle,paddelst,paddelt,paddelte,gepaddelt,paddelte,paddle,paddelt,sein
paff,paffen,paffe,paffst,pafft,paffte,gepafft,paffte,paff,pafft,haben
ansag,ansagen,sage an,sagst an,sagt an,sagte an,angesagt,sagte an,sag an,sagt an,haben
kuschel,kuscheln,kuschle,kuschelst,kuschelt,kuschelte,gekuschelt,kuschelte,kuschle,kuschelt,haben
aas,aasen,aase,aast,aast,aaste,geaast,aaste,aase,aast,haben
ausreiz,ausreizen,reize aus,reizt aus,reizt aus,reizte aus,ausgereizt,reizte aus,reiz aus,reizt aus,haben
töt,töten,töte,tötest,tötet,tötete,getötet,tötete,töte,tötet,haben
sterb,sterben,sterbe,stirbst,stirbt,starb,gestorben,stürbe,stirb,sterbt,sein
paktier,paktieren,paktiere,paktierst,paktiert,paktierte,paktiert,paktierte,paktiere,paktiert,haben
mauer,mauern,maure,mauerst,mauert,mauerte,gemauert,mauerte,mauer,mauert,haben
wein,weinen,weine,weinst,weint,weinte,geweint,weinte,weine,weint,haben
puder,pudern,pudere,puderst,pudert,puderte,gepudert,puderte,pudere,pudert,haben
pimper,pimpern,pimpere,pimperst,pimpert,pimperte,gepimpert,pimperte,pimpere,pimpert,haben
dehn,dehnen,dehne,dehnst,dehnt,dehnte,gedehnt,dehnte,dehn,dehnt,haben
sammel,sammeln,sammle,sammelst,sammelt,sammelte,gesammelt,sammelte,sammle,sammelt,haben
krökel,krökeln,krökele,krökelst,krökelt,krökelte,gekrökelt,krökelte,krökele,krökelt,haben
schnacksel,schnackseln,schnacksle,schnackselst,schnackselt,schnackselte,geschnackselt,schnackselte,schnacksle,schnackselt,haben
koitier,koitieren,koitiere,koitierst,koitiert,koitierte,koitiert,koitierte,koitiere,koitiert,haben
schummel,schummeln,schummle,schummelst,schummelt,schummelte,geschummelt,schummelte,schummle,schummelt,haben
amalgamier,amalgamieren,amalgamiere,amalgamierst,amalgamiert,amalgamierte,amalgamiert,amalgamierte,amalgamiere,amalgamiert,haben
klau,klauen,klaue,klaust,klaut,klaute,geklaut,klaute,klaue,klaut,haben
fress,fressen,fresse,frisst,frisst,fraß,gefressen,fräße,friss,fresst,haben
schmier,schmieren,schmiere,schmierst,schmiert,schmierte,geschmiert,schmierte,schmiere,schmiert,haben
sims,simsen,simse,simst,simst,simste,gesimst,simste,sims,simst,haben
vermein,vermeinen,vermeine,vermeinst,vermeint,vermeinte,vermeint,vermeinte,vermeine,vermeint,haben
finish,finishen,finishe,finishst,finisht,finishte,gefinisht,finishte,finishe,finisht,haben
sieb,sieben,siebe,siebst,siebt,siebte,gesiebt,siebte,sieb,siebt,haben
aufhör,aufhören,höre auf,hörst auf,hört auf,hörte auf,aufgehört,hörte auf,hör auf,hört auf,haben
schenk,schenken,schenke,schenkst,schenkt,schenkte,geschenkt,schenkte,schenk,schenkt,haben
red,reden,rede,redest,redet,redete,geredet,redete,red,redet,haben
pack,packen,packe,packst,packt,packte,gepackt,packte,pack,packt,haben
reiz,reizen,reize,reizt,reizt,reizte,gereizt,reizte,reize,reizt,haben
palaver,palavern,palavre,palaverst,palavert,palaverte,palavert,palaverte,palavere,palavert,haben
kirr,kirren,kirre,kirrst,kirrt,kirrte,gekirrt,kirrte,kirr,kirrt,haben
such,suchen,suche,suchst,sucht,suchte,gesucht,suchte,suche,sucht,haben
hinder,hindern,hindere,hinderst,hindert,hinderte,gehindert,hinderte,hindere,hindert,haben
anstell,anstellen,stelle an,stellst an,stellt an,stellte an,angestellt,stellte an,stell an,stellt an,haben
schaff,schaffen,schaffe,schaffst,schafft,schuf,geschaffen,schüfe,schaffe,schafft,haben
lass,lassen,lasse,lässt,lässt,ließ,gelassen,ließe,lass,lasst,haben
aufsteh,aufstehen,stehe auf,stehst auf,steht auf,stand auf,aufgestanden,stände auf,steh auf,steht auf,sein
unterhalt,unterhalten,unterhalte,unterhältst,unterhält,unterhielt,unterhalten,unterhielte,unterhalte,unterhaltet,haben
anbiet,anbieten,biete an,bietest an,bietet an,bot an,angeboten,böte an,biet an,bietet an,haben
schnüffel,schnüffeln,schnüffle,schnüffelst,schnüffelt,schnüffelte,geschnüffelt,schnüffelte,schnüffel,schnüffelt,haben
abachel,abacheln,achele ab,achelst ab,achelt ab,achelte ab,abgeachelt,achelte ab,achele ab,achelt ab,haben
panier,panieren,paniere,panierst,paniert,panierte,paniert,panierte,paniere,paniert,haben
entbehr,entbehren,entbehre,entbehrst,entbehrt,entbehrte,entbehrt,entbehrte,entbehre,entbehrt,haben
schlaf,schlafen,schlafe,schläfst,schläft,schlief,geschlafen,schliefe,schlaf,schlaft,haben
pansch,panschen,pansche,panschst,panscht,panschte,gepanscht,panschte,pansch,panscht,haben
anschnei,anschneien,schneie an,schneist an,schneit an,schneite an,angeschneit,schneite an,schnei an,schneit an,haben
park,parken,parke,parkst,parkt,parkte,geparkt,parkte,parke,parkt,haben
quacksalber,quacksalbern,quacksalber,quacksalberst,quacksalbert,quacksalberte,gequacksalbert,quacksalberte,quacksalber,quacksalbert,haben
quak,quaken,quake,quakst,quakt,quakte,gequakt,quakte,quake,quakt,haben
kremier,kremieren,kremiere,kremierst,kremiert,kremierte,kremiert,kremierte,kremiere,kremiert,haben
bekomm,bekommen,bekomme,bekommst,bekommt,bekam,bekommen,bekäme,bekomm,bekommt,haben
zwirn,zwirnen,zwirne,zwirnst,zwirnt,zwirnte,gezwirnt,zwirnte,zwirne,zwirnt,haben
check,checken,checke,checkst,checkt,checkte,gecheckt,checkte,check,checkt,haben
kujonier,kujonieren,kujoniere,kujonierst,kujoniert,kujonierte,kujoniert,kujonierte,kujonier,kujoniert,haben
träum,träumen,träume,träumst,träumt,träumte,geträumt,träumte,träume,träumt,haben
regredier,regredieren,regrediere,regredierst,regrediert,regredierte,regrediert,regredierte,regrediere,regrediert,haben
despektier,despektieren,despektiere,despektierst,despektiert,despektierte,despektiert,despektierte,despektiere,despektiert,haben
flöt,flöten,flöte,flötest,flötet,flötete,geflötet,flötete,flöte,flötet,haben
avisier,avisieren,avisiere,avisierst,avisiert,avisierte,avisiert,avisierte,avisiere,avisiert,haben
profilier,profilieren,profiliere,profilierst,profiliert,profilierte,profiliert,profilierte,profilier,profiliert,haben
geb,geben,gebe,gibst,gibt,gab,gegeben,gäbe,gib,gebt,haben
maus,mausen,mause,maust,maust,mauste,gemaust,mauste,mause,maust,haben
bürst,bürsten,bürste,bürstest,bürstet,bürstete,gebürstet,bürstete,bürste,bürstet,haben
jähr,jähren,jähre,jährst,jährt,jährte,gejährt,jährte,jähr,jährt,haben
verkuppel,verkuppeln,verkupple,verkuppelst,verkuppelt,verkuppelte,verkuppelt,verkuppelte,verkupple,verkuppelt,haben
zieh,ziehen,ziehe,ziehst,zieht,zog,gezogen,zöge,ziehe,zieht,haben
lach,lachen,lache,lachst,lacht,lachte,gelacht,lachte,lache,lacht,haben
bekrieg,bekriegen,bekriege,bekriegst,bekriegt,bekriegte,bekriegt,bekriegte,bekriege,bekriegt,haben
erreg,erregen,errege,erregst,erregt,erregte,erregt,erregte,errege,erregt,haben
antret,antreten,trete an,trittst an,tritt an,trat an,angetreten,träte an,tritt an,tretet an,haben
promovier,promovieren,promoviere,promovierst,promoviert,promovierte,promoviert,promovierte,promoviere,promoviert,haben
zunehm,zunehmen,nehme zu,nimmst zu,nimmt zu,nahm zu,zugenommen,nähme zu,nimm zu,nehmt zu,haben
abnehm,abnehmen,nehme ab,nimmst ab,nimmt ab,nahm ab,abgenommen,nähme ab,nimm ab,nehmt ab,haben
kriech,kriechen,krieche,kriechst,kriecht,kroch,gekrochen,kröche,kriech,kriecht,sein
zeichn,zeichnen,zeichne,zeichnest,zeichnet,zeichnete,gezeichnet,zeichnete,zeichne,zeichnet,haben
handel,handeln,handle,handelst,handelt,handelte,gehandelt,handelte,handle,handelt,haben
kost,kosten,koste,kostest,kostet,kostete,gekostet,kostete,koste,kostet,haben
ameliorier,ameliorieren,amelioriere,ameliorierst,amelioriert,ameliorierte,amelioriert,ameliorierte,ameliorier,amelioriert,haben
verabschied,verabschieden,verabschiede,verabschiedest,verabschiedet,verabschiedete,verabschiedet,verabschiedete,verabschied,verabschiedet,haben
tradier,tradieren,tradiere,tradierst,tradiert,tradierte,tradiert,tradierte,tradiere,tradiert,haben
wirk,wirken,wirke,wirkst,wirkt,wirkte,gewirkt,wirkte,wirk,wirkt,haben
beherberg,beherbergen,beherberge,beherbergst,beherbergt,beherbergte,beherbergt,beherbergte,beherberg,beherbergt,haben
bums,bumsen,bumse,bumst,bumst,bumste,gebumst,bumste,bums,bumst,haben
desavouier,desavouieren,desavouiere,desavouierst,desavouiert,desavouierte,desavouiert,desavouierte,desavouiere,desavouiert,haben
kolportier,kolportieren,kolportiere,kolportierst,kolportiert,kolportierte,kolportiert,kolportierte,kolportiere,kolportiert,haben
fundier,fundieren,fundiere,fundierst,fundiert,fundierte,fundiert,fundierte,fundiere,fundiert,haben
heuchel,heucheln,heuchele,heuchelst,heuchelt,heuchelte,geheuchelt,heuchelte,heuchele,heuchelt,haben
sauf,saufen,saufe,säufst,säuft,soff,gesoffen,söffe,sauf,sauft,haben
back,backen,backe,bäckst,bäckt,buk,gebacken,büke,backe,backt,haben
scheiß,scheißen,scheiße,scheißt,scheißt,schiss,geschissen,schisse,scheiß,scheißt,haben
recherchier,recherchieren,recherchiere,recherchierst,recherchiert,recherchierte,recherchiert,recherchierte,recherchiere,recherchiert,haben
konfundier,konfundieren,konfundiere,konfundierst,konfundiert,konfundierte,konfundiert,konfundierte,konfundier,konfundiert,haben
abback,abbacken,backe ab,backst ab,backt ab,buk ab,abgebacken,büke ab,back ab,backt ab,haben
befang,befangen,befange,befängst,befängt,befinge,befangen,befinge,befang,befangt,haben
antichambrier,antichambrieren,antichambriere,antichambrierst,antichambriert,antichambrierte,antichambriert,antichambrierte,antichambriere,antichambriert,haben
schöpf,schöpfen,schöpfe,schöpfst,schöpft,schöpfte,geschöpft,schöpfte,schöpfe,schöpft,haben
überleg,überlegen,überlege,überlegst,überlegt,überlegte,überlegt,überlegte,überlege,überlegt,haben
spiel,spielen,spiele,spielst,spielt,spielte,gespielt,spielte,spiel,spielt,haben
prolongier,prolongieren,prolongiere,prolongierst,prolongiert,prolongierte,prolongiert,prolongierte,prolongiere,prolongiert,haben
evaluier,evaluieren,evaluiere,evaluierst,evaluiert,evaluierte,evaluiert,evaluierte,evaluiere,evaluiert,haben
exponier,exponieren,exponiere,exponierst,exponiert,exponierte,exponiert,exponierte,exponiere,exponiert,haben
ülm,ülmen,ülme,ülmst,ülmt,ülmte,geülmt,ülmte,ülme,ülmt,haben
stilisier,stilisieren,stilisiere,stilisierst,stilisiert,stilisierte,stilisiert,stilisierte,stilisier,stilisiert,haben
funz,funzen,funze,funzt,funzt,funzte,gefunzt,funzte,funze,funzt,haben
konstituier,konstituieren,konstituiere,konstituierst,konstituiert,konstituierte,konstituiert,konstituierte,konstituiere,konstituiert,haben
riskier,riskieren,riskiere,riskierst,riskiert,riskierte,riskiert,riskierte,riskiere,riskiert,haben
gewinn,gewinnen,gewinne,gewinnst,gewinnt,gewann,gewonnen,gewönne,gewinn,gewinnt,haben
fall,fallen,falle,fällst,fällt,fiel,gefallen,fiele,falle,fallt,sein
reit,reiten,reite,reitest,reitet,ritt,geritten,ritte,reit,reitet,sein
fütter,füttern,füttere,fütterst,füttert,fütterte,gefüttert,fütterte,füttere,füttert,haben
besuch,besuchen,besuche,besuchst,besucht,besuchte,besucht,besuchte,besuch,besucht,haben
frier,frieren,friere,frierst,friert,fror,gefroren,fröre,frier,friert,haben
leb,leben,lebe,lebst,lebt,lebte,gelebt,lebte,lebe,lebt,haben
fungier,fungieren,fungiere,fungierst,fungiert,fungierte,fungiert,fungierte,fungier,fungiert,haben
indoktrinier,indoktrinieren,indoktriniere,indoktrinierst,indoktriniert,indoktrinierte,indoktriniert,indoktrinierte,indoktriniere,indoktriniert,haben
ausmerz,ausmerzen,merze aus,merzt aus,merzt aus,merzte aus,ausgemerzt,merzte aus,merz aus,merzt aus,haben
reglementier,reglementieren,reglementiere,reglementierst,reglementiert,reglementierte,reglementiert,reglementierte,reglementiere,reglementiert,haben
schäl,schälen,schäle,schälst,schält,schälte,geschält,schälte,schäl,schält,haben
beseitig,beseitigen,beseitige,beseitigst,beseitigt,beseitigte,beseitigt,beseitigte,beseitige,beseitigt,haben
auseinandersetz,auseinandersetzen,setze auseinander,setzt auseinander,setzt auseinander,setzte auseinander,auseinandergesetzt,setzte auseinander,setz auseinander,setzt auseinander,haben
saug,saugen,sauge,saugst,saugt,saugte,gesaugt,saugte,saug,saugt,haben
implizier,implizieren,impliziere,implizierst,impliziert,implizierte,impliziert,implizierte,impliziere,impliziert,haben
kaskadier,kaskadieren,kaskadiere,kaskadierst,kaskadiert,kaskadierte,kaskadiert,kaskadierte,kaskadier,kaskadiert,haben
raid,raiden,raide,raidest,raidet,raidete,geraidet,raidete,raide,raidet,haben
aliquotier,aliquotieren,aliquotiere,aliquotierst,aliquotiert,aliquotierte,aliquotiert,aliquotierte,aliquotiere,aliquotiert,haben
fopp,foppen,foppe,foppst,foppt,foppte,gefoppt,foppte,fopp,foppt,haben
änder,ändern,ändere,änderst,ändert,änderte,geändert,änderte,ändere,ändert,haben
transformier,transformieren,transformiere,transformierst,transformiert,transformierte,transformiert,transformierte,transformiere,transformiert,haben
kompromittier,kompromittieren,kompromittiere,kompromittierst,kompromittiert,kompromittierte,kompromittiert,kompromittierte,kompromittier,kompromittiert,haben
zahl,zahlen,zahle,zahlst,zahlt,zahlte,gezahlt,zahlte,zahle,zahlt,haben
ding,dingen,dinge,dingst,dingt,dang,gedungen,dänge,dinge,dingt,haben
spinn,spinnen,spinne,spinnst,spinnt,spann,gesponnen,spönne,spinn,spinnt,haben
spleiß,spleißen,spleiße,spleißt,spleißt,spliss,gesplissen,splisse,spleiß,spleißt,haben
verklär,verklären,verkläre,verklärst,verklärt,verklärte,verklärt,verklärte,verkläre,verklärt,haben
stipp,stippen,stippe,stippst,stippt,stippte,gestippt,stippte,stipp,stippt,haben
medisier,medisieren,medisiere,medisierst,medisiert,medisierte,medisiert,medisierte,medisier,medisiert,haben
paraphier,paraphieren,paraphiere,paraphierst,paraphiert,paraphierte,paraphiert,paraphierte,paraphiere,paraphiert,haben
progg,proggen,progge,proggst,proggt,proggte,geproggt,proggte,progge,proggt,haben
beobacht,beobachten,beobachte,beobachtest,beobachtet,beobachtete,beobachtet,beobachtete,beobachte,beobachtet,haben
daddel,daddeln,daddle,daddelst,daddelt,daddelte,gedaddelt,daddelte,daddle,daddelt,haben
sistier,sistieren,sistiere,sistierst,sistiert,sistierte,sistiert,sistierte,sistiere,sistiert,haben
monetarisier,monetarisieren,monetarisiere,monetarisierst,monetarisiert,monetarisierte,monetarisiert,monetarisierte,monetarisier,monetarisiert,haben
beschäl,beschälen,—,—,beschält,beschälte,beschält,beschälte,—,—,haben
reüssier,reüssieren,reüssiere,reüssierst,reüssiert,reüssierte,reüssiert,reüssierte,reüssiere,reüssiert,haben
absorbier,absorbieren,absorbiere,absorbierst,absorbiert,absorbierte,absorbiert,absorbierte,absorbiere,absorbiert,haben
chill,chillen,chille,chillst,chillt,chillte,gechillt,chillte,chill,chillt,haben
lancier,lancieren,lanciere,lancierst,lanciert,lancierte,lanciert,lancierte,lanciere,lanciert,haben
antizipier,antizipieren,antizipiere,antizipierst,antizipiert,antizipierte,antizipiert,antizipierte,antizipier,antizipiert,haben
hasardier,hasardieren,hasardiere,hasardierst,hasardiert,hasardierte,hasardiert,hasardierte,hasardiere,hasardiert,haben
adsorbier,adsorbieren,adsorbiere,adsorbierst,adsorbiert,adsorbierte,adsorbiert,adsorbierte,adsorbiere,adsorbiert,haben
intervenier,intervenieren,interveniere,intervenierst,interveniert,intervenierte,interveniert,intervenierte,interveniere,interveniert,haben
push,pushen,pushe,pushst,pusht,pushte,gepusht,pushte,push,pusht,haben
annektier,annektieren,annektiere,annektierst,annektiert,annektierte,annektiert,annektierte,annektier,annektiert,haben
streich,streichen,streiche,streichst,streicht,strich,gestrichen,striche,streiche,streicht,haben
reis,reisen,reise,reist,reist,reiste,gereist,reiste,reise,reist,sein
krakeel,krakeelen,krakeele,krakeelst,krakeelt,krakeelte,krakeelt,krakeelte,krakeel,krakeelt,haben
postulier,postulieren,postuliere,postulierst,postuliert,postulierte,postuliert,postulierte,postuliere,postuliert,haben
innervier,innervieren,innerviere,innervierst,innerviert,innervierte,innerviert,innervierte,innervier,innerviert,haben
schwätz,schwätzen,schwätze,schwätzt,schwätzt,schwätzte,geschwätzt,schwätzte,schwätze,schwätzt,haben
massolier,massolieren,massoliere,massolierst,massoliert,massolierte,massoliert,massolierte,massoliere,massoliert,haben
restringier,restringieren,restringiere,restringierst,restringiert,restringierte,restringiert,restringierte,restringiere,restringiert,haben
onanier,onanieren,onaniere,onanierst,onaniert,onanierte,onaniert,onanierte,onaniere,onaniert,haben
denunzier,denunzieren,denunziere,denunzierst,denunziert,denunzierte,denunziert,denunzierte,denunziere,denunziert,haben
laktier,laktieren,laktiere,laktierst,laktiert,laktierte,laktiert,laktierte,laktiere,laktiert,haben
verballhorn,verballhornen,verballhorne,verballhornst,verballhornt,verballhornte,verballhornt,verballhornte,verballhorne,verballhornt,haben
defilier,defilieren,defiliere,defilierst,defiliert,defilierte,defiliert,defilierte,defilier,defiliert,haben
knetsch,knetschen,knetsche,knetschst,knetscht,knetschte,geknetscht,knetschte,knetsch,knetscht,sein
mail,mailen,maile,mailst,mailt,mailte,gemailt,mailte,mail,mailt,haben
perennier,perennieren,perenniere,perennierst,perenniert,perennierte,perenniert,perennierte,perennier,perenniert,sein
substantivier,substantivieren,substantiviere,substantivierst,substantiviert,substantivierte,substantiviert,substantivierte,substantiviere,substantiviert,haben
abänder,abändern,ändre ab,änderst ab,ändert ab,änderte ab,abgeändert,änderte ab,ändre ab,ändert ab,haben
abbad,abbaden,bade ab,badest ab,badet ab,badete ab,abgebadet,badete ab,bade ab,badet ab,haben
abbalg,abbalgen,balge ab,balgst ab,balgt ab,balgte ab,abgebalgt,balgte ab,balg ab,balgt ab,haben
abbak,abbaken,bake ab,bakst ab,bakt ab,bakte ab,abgebakt,bakte ab,bake ab,bakt ab,haben
abbalz,abbalzen,balze ab,balzt ab,balzt ab,balzte ab,abgebalzt,balzte ab,balz ab,balzt ab,haben
abbang,abbangen,bange ab,bangst ab,bangt ab,bangte ab,abgebangt,bangte ab,bang ab,bangt ab,haben
abbast,abbasten,baste ab,bastest ab,bastet ab,bastete ab,abgebastet,bastete ab,baste ab,bastet ab,haben
abbeiß,abbeißen,beiße ab,beißt ab,beißt ab,biss ab,abgebissen,bisse ab,beiß ab,beißt ab,haben
